Year,State,District,Production_Tonnes,National_Total_Tonnes,District_National_Share_Pct,State_Total_Tonnes,District_State_Share_Pct,State_National_Share_Pct,Avg_Latitude,Avg_Longitude,Avg_Temperature_C,Temperature_Level,Total_Rainfall_mm,Rainfall_Level,Avg_Humidity_pct,Humidity_Level,Production_Stress,Temperature_Stress,Rainfall_Stress,Humidity_Stress,Weather_Stress,Equipment_Breakdown_Risk_Percent,Equipment_Breakdown_Risk_Level,Year_Start,Expected_Production_Tonnes,Production_Shortfall_Percent,Production_Shortfall_Risk_Level
2012-13,Andhra Pradesh,Vizianagaram,353302.0,2342833,15.08,353302.0,100.0,15.08,18.30631,83.49997,27.08,High,1334.1,Medium,74.35,High,0.0,0.6264328813793177,0.48594670406732116,0.9287374128582493,0.6803723327682961,11.811233031214867,Medium,2012,,,Unknown
2013-14,Andhra Pradesh,Vizianagaram,334265.0,2626291,12.73,334265.0,100.0,12.73,18.30631,83.49997,26.64,High,1383.0,Medium,74.65,High,0.0,0.44680114302795965,0.5133800841514726,0.9403563129357091,0.6335125133717138,10.539237558603123,Medium,2013,,,Unknown
2014-15,Andhra Pradesh,Vizianagaram,253746.0,2369481,10.71,253746.0,100.0,10.71,18.30631,83.49997,27.11,High,1132.5,Medium,72.93,High,0.15793881676859922,0.6386804999032746,0.37284712482468446,0.8737412858249423,0.6284229701843004,15.037679556236904,Medium,2014,343783.5,26.190174921134957,High
2015-16,Andhra Pradesh,Vizianagaram,186632.0,2166947,8.61,186632.0,100.0,8.61,18.30631,83.49997,27.47,High,1371.3,Medium,74.83,High,0.38065796998241236,0.7856519221907499,0.5068162692847125,0.9473276529821844,0.7465986148192156,24.115260347868553,Medium,2015,313771.0,40.5196783641573,High
2016-17,Andhra Pradesh,Vizianagaram,232257.0,2395134,9.7,232257.0,100.0,9.7,18.30631,83.49997,27.28,High,1177.4,Medium,72.84,High,0.2292504936677802,0.7080836715390276,0.3980364656381487,0.8702556158017043,0.6587919176596269,19.084384660261787,Medium,2016,258214.33333333334,10.052630695688212,Medium
2017-18,Andhra Pradesh,Vizianagaram,166872.0,2589271,6.44,166872.0,100.0,6.44,18.30631,83.49997,27.1,High,1326.0,Medium,73.0,High,0.44623192575177417,0.6345979603952899,0.48140252454417953,0.8764523625096825,0.6641509491497174,24.201583978473646,Medium,2017,224211.66666666666,25.57389966326462,High
2018-19,Andhra Pradesh,Vizianagaram,122400.0,2917830,4.19,122400.0,100.0,4.19,18.30631,83.49997,26.93,High,1320.1,Medium,73.27,High,0.593813148473184,0.5651947887595369,0.47809256661991584,0.8869093725793957,0.6433989093196162,22.465701412685462,Medium,2018,195253.66666666666,37.312316798148046,High
2019-20,Andhra Pradesh,Vizianagaram,331800.0,2874300,11.54,331800.0,100.0,11.54,18.30630833,83.49996667,27.16,High,1464.9,Medium,76.18,High,0.0,0.659093197443202,0.5593267882187939,0.9996127033307517,0.7393442296642493,10.640476953067632,Medium,2019,173843.0,0.0,Low
2020-21,Andhra Pradesh,Vizianagaram,204002.0,204002,4.19,122400.0,100.0,4.19,18.30631,83.49997,26.93,High,1320.1,Medium,73.27,High,0.3230152770819157,0.5651947887595369,0.47809256661991584,0.8869093725793957,0.6433989093196162,22.109505416605373,Medium,2020,207024.0,1.4597341371048769,Medium
2021-22,Andhra Pradesh,Vizianagaram,848621.0,4748071,17.87,848621.0,100.0,17.87,18.30630833,83.49996667,27.07,High,1507.8,High,73.65,High,0.0,0.6223503418713332,0.5833941093969145,0.9016266460108446,0.7024570324263641,22.52217442935887,Medium,2021,219400.66666666666,0.0,Low
2022-23,Andhra Pradesh,Vizianagaram,213790.0,2826964,7.56,213790.0,100.0,7.56,18.30631,83.49997,26.94,High,1473.7,Medium,73.75,High,0.2905336030398857,0.569277328267523,0.5642636746143058,0.9054996127033308,0.6796802051950532,20.327518495308297,Medium,2022,461474.3333333333,53.67239637018455,High
2023-24,Andhra Pradesh,Vizianagaram,297537.0,3380889,8.8,297537.0,100.0,8.8,18.30631,83.49997,27.48,High,1229.1,Medium,73.78,High,0.01261750618681164,0.789734461698736,0.4270406732117812,0.9066615027110768,0.7078122125405314,9.683112072335533,Low,2023,422137.6666666667,29.516595297110822,High
2024-25,Andhra Pradesh,Vizianagaram,334421.09,3800000,8.8,334421.09,100.0,8.8,18.30631,83.49997,27.35,High,1726.1,High,74.94,High,0.0,0.7366614480949257,0.7058625525946703,0.9515879163439195,0.7980373056778385,11.039516022196239,Medium,2024,453316.0,26.227821210810998,High
2025-26,Andhra Pradesh,Vizianagaram,339102.99,3853200,8.8,339102.99,100.0,8.8,18.30631,83.49997,26.41,High,1796.0,High,76.19,High,0.0,0.35290273434429453,0.7450771388499299,1.0,0.6993266243980748,11.034768345381668,Medium,2025,281916.03,0.0,Low
2012-13,Karnataka,Ballari,28290.87,2342833,1.21,39540.0,71.55,1.69,15.09,76.55,26.05,Medium,610.8,Low,60.56,Medium,0.8548668538872848,0.2059313120568192,0.08016830294530153,0.3946553059643689,0.22691830698882987,38.96630344583567,High,2012,,,Unknown
2013-14,Karnataka,Ballari,103409.78,2626291,3.94,144528.0,71.55,5.5,15.09,76.55,25.2,Medium,837.6,Low,64.46,Medium,0.4695042354574554,0.14108454612194316,0.2074053295932679,0.5457010069713399,0.2980636275621837,21.326664554053927,Medium,2013,,,Unknown
2014-15,Karnataka,Ballari,147893.85,2369481,6.24,206700.0,71.55,8.72,15.09,76.55,25.51,Medium,841.9,Low,63.72,Medium,0.2412994106854263,0.01452582137439382,0.20981767180925667,0.5170410534469404,0.24712818221019694,17.974297866143228,Medium,2014,65850.325,0.0,Low
2015-16,Karnataka,Ballari,104193.26,2166947,4.81,145623.0,71.55,6.72,15.09,76.55,26.4,High,727.3,Low,62.17,Medium,0.4654849558341568,0.3488201948363085,0.14552594670406732,0.45701006971340064,0.31711873708459215,21.469474004681334,Medium,2015,93198.16666666667,0.0,Low
2016-17,Karnataka,Ballari,187011.67,2395134,7.81,261372.0,71.55,10.91,15.09,76.55,26.06,Medium,753.6,Low,59.8,Low,0.04062363487256173,0.21001385156480382,0.16028050490883594,0.3652207591014717,0.2451717051917038,7.582634739581906,Low,2016,118498.96333333333,0.0,Low
2017-18,Karnataka,Ballari,210865.72,2589271,8.14,294711.0,71.55,11.38,15.09,76.55,25.84,Medium,762.7,Low,63.71,Medium,0.0,0.12019798238912477,0.1653856942496494,0.5166537567776919,0.26741247780548866,7.066827533210946,Low,2017,146366.26,0.0,Low
2018-19,Karnataka,Ballari,198408.15,2917830,6.8,277300.0,71.55,9.5,15.09,76.55,26.05,Medium,642.5,Low,62.13,Medium,0.0,0.2059313120568192,0.0979523141654979,0.4554608830364061,0.2531148364195744,6.98152233464027,Low,2018,167356.88333333333,0.0,Low
2019-20,Karnataka,Ballari,182100.0,2874300,6.34,249200.0,73.07,8.67,15.09,76.55,25.95,Medium,993.3,Low,68.65,High,0.06582067263659805,0.16510591697696428,0.2947545582047686,0.7079783113865223,0.3892795955227517,8.565653663672274,Low,2019,198761.84666666668,8.38281941232384,Medium
2020-21,Karnataka,Ballari,219193.0,4748071,4.62,273460.0,80.16,5.76,15.09,76.55,25.64,Medium,1011.5,Low,67.15,High,0.0,0.038547192229416403,0.30496493688639553,0.6498838109992258,0.3311319800383459,7.515574394130063,Low,2020,197124.62333333332,0.0,Low
2021-22,Karnataka,Ballari,271892.86,380004,4.62,273460.0,80.16,5.76,15.09,76.55,25.64,Medium,1011.5,Low,67.15,High,0.0,0.038547192229416403,0.30496493688639553,0.6498838109992258,0.3311319800383459,8.962879700224027,Low,2021,199900.38333333333,0.0,Low
2022-23,Karnataka,Ballari,246655.03,2826964,8.73,344731.0,71.55,12.19,15.09,76.55,25.3,Medium,946.1,Low,65.65,High,0.0,0.10025915104208825,0.2682748948106592,0.5917893106119291,0.3201077854882255,8.035163277549605,Low,2022,224395.28666666665,0.0,Low
2023-24,Karnataka,Ballari,254043.28,3380889,7.51,355057.0,71.55,10.5,15.09,76.55,27.17,High,467.9,Low,59.67,Low,0.0,0.663175736951188,0.0,0.3601859024012395,0.34112054645080914,8.305051521568446,Low,2023,245913.63,0.0,Low
2024-25,Karnataka,Ballari,285535.69,3800000,7.51,399071.54,71.55,10.5,15.09,76.55,26.12,Medium,892.9,Low,66.64,High,0.0,0.23450908861271735,0.23842917251051893,0.6301316808675447,0.36768998066359365,9.161926028786498,Low,2024,257530.38999999998,0.0,Low
2025-26,Karnataka,Ballari,289533.19,3853200,7.51,404658.53,71.55,10.5,15.09,76.55,24.95,Medium,983.5,Low,69.17,High,0.0,0.24314803382157898,0.28925666199158484,0.7281177381874517,0.42017414466687186,9.274049960603328,Low,2025,262078.0,0.0,Low
2012-13,Karnataka,Chitradurga,6500.38,2342833,0.28,39540.0,16.44,1.69,14.23,76.4,24.66,Low,641.4,Low,63.49,Medium,0.8501728048652073,0.3615416795531562,0.0973352033660589,0.5081332300542217,0.3223367043244789,38.997056906080786,High,2012,,,Unknown
2013-14,Karnataka,Chitradurga,23760.4,2626291,0.9,144528.0,16.44,5.5,14.23,76.4,24.29,Low,661.9,Low,64.71,Medium,0.45234677245319027,0.5125956413486176,0.108835904628331,0.555383423702556,0.3922716565598348,20.895400870629103,Medium,2013,,,Unknown
2014-15,Karnataka,Chitradurga,33981.48,2369481,1.43,206700.0,16.44,8.72,14.23,76.4,24.52,Low,742.4,Low,65.0,Medium,0.21676119935618235,0.41869723266495246,0.15399719495091163,0.566615027110767,0.3797698182422103,15.221521148108653,Medium,2014,15130.390000000001,0.0,Low
2015-16,Karnataka,Chitradurga,23940.42,2166947,1.1,145623.0,16.44,6.72,14.23,76.4,24.94,Low,738.5,Low,65.88,High,0.4481974932313348,0.2472305733295636,0.1518092566619916,0.6006971340046475,0.3332456546654009,20.77704885746507,Medium,2015,21414.08666666667,0.0,Low
2016-17,Karnataka,Chitradurga,42969.56,2395134,1.79,261372.0,16.44,10.91,14.23,76.4,24.92,Low,548.7,Low,60.73,Medium,0.00959503121722314,0.2553956523455343,0.045329593267882225,0.40123934934159566,0.2339881983183374,2.0485900477722296,Low,2016,27227.433333333334,0.0,Low
2017-18,Karnataka,Chitradurga,48450.49,2589271,1.87,294711.0,16.44,11.38,14.23,76.4,24.14,Low,739.8,Low,66.07,High,0.0,0.5738337339683985,0.15253856942496494,0.6080557707203716,0.4448093580379117,1.9433416593286112,Low,2017,33630.486666666664,0.0,Low
2018-19,Karnataka,Chitradurga,45588.12,2917830,1.56,277300.0,16.44,9.5,14.23,76.4,24.41,Low,695.1,Low,64.01,Medium,0.0,0.463605167252792,0.1274614305750351,0.5282726568551513,0.3731130848943261,1.913202501003824,Low,2018,38453.49,0.0,Low
2019-20,Karnataka,Chitradurga,38900.0,2874300,1.35,249200.0,15.61,8.67,14.23,76.4,24.42,Low,857.5,Low,69.83,High,0.10339427991233743,0.4595226277448059,0.2185694249649369,0.7536793183578622,0.47725712368920165,6.935618367273298,Low,2019,45669.38999999999,14.822597805663692,Medium
2020-21,Karnataka,Chitradurga,33660.0,4748071,0.71,273460.0,12.31,5.76,14.23,76.4,23.93,Low,982.1,Low,69.76,High,0.2241709887364853,0.659567063636093,0.28847124824684434,0.7509682416731219,0.5663355178520197,15.281047497766291,Medium,2020,44312.869999999995,24.0401264914685,Medium
2021-22,Karnataka,Chitradurga,62472.66,380004,0.71,273460.0,12.31,5.76,14.23,76.4,23.93,Low,982.1,Low,69.76,High,0.0,0.659567063636093,0.28847124824684434,0.7509682416731219,0.5663355178520197,2.6851060636167987,Low,2021,39382.70666666667,0.0,Low
2022-23,Karnataka,Chitradurga,56673.78,2826964,2.0,344731.0,16.44,12.19,14.23,76.4,23.53,Low,1029.2,Low,68.06,High,0.0,0.8228686439555096,0.31489481065918656,0.6851278079008523,0.6076304208385161,2.5684742476141342,Low,2022,45010.886666666665,0.0,Low
2023-24,Karnataka,Chitradurga,58371.37,3380889,1.73,355057.0,16.44,10.5,14.23,76.4,25.41,Medium,519.7,Low,62.47,Medium,0.0,0.055351216454248724,0.029060308555399757,0.46862896979085983,0.18434683160016943,2.2806954534668424,Low,2023,50935.48,0.0,Low
2024-25,Karnataka,Chitradurga,65607.36,3800000,1.73,399071.54,16.44,10.5,14.23,76.4,24.48,Low,935.0,Low,68.97,High,0.0,0.43502739069689383,0.2620476858345021,0.7203718048024788,0.47248229377795825,2.628612871961194,Low,2024,59172.60333333333,0.0,Low
2025-26,Karnataka,Chitradurga,66525.86,3853200,1.73,404658.53,16.44,10.5,14.23,76.4,23.52,Low,847.9,Low,70.13,High,0.0,0.8269511834634957,0.2131837307152875,0.7652982184353214,0.6018110442047016,2.6301476334592526,Low,2025,60217.503333333334,0.0,Low
2012-13,Karnataka,Davanagere,3151.34,2342833,0.13,39540.0,7.97,1.69,14.47,75.92,25.07,Medium,666.2,Low,64.25,Medium,0.8480281110427662,0.19415755972575338,0.11124824684431982,0.5375677769171187,0.2809911944957306,38.75602891882313,High,2012,,,Unknown
2013-14,Karnataka,Davanagere,11518.88,2626291,0.44,144528.0,7.97,5.5,14.47,75.92,24.52,Low,791.2,Low,65.94,High,0.44450743103831997,0.41869723266495246,0.18137447405329596,0.6030209140201395,0.4010308735794626,20.977851065583412,Medium,2013,,,Unknown
2014-15,Karnataka,Davanagere,16473.99,2369481,0.7,206700.0,7.97,8.72,14.47,75.92,24.79,Low,801.1,Low,66.67,High,0.20554958241174237,0.30846866594934597,0.18692847124824688,0.6312935708752906,0.3755635693576278,14.39269141975417,Medium,2014,7335.11,0.0,Low
